"campaign","kit_id","transect_location","moisturecontent_perc_drywtbasis"
"EC1","K004","sediment",97
"EC1","K008","sediment",67
"EC1","K009","sediment",116
"EC1","K010","sediment",170
"EC1","K011","sediment",129
"EC1","K012","sediment",716
"EC1","K013","sediment",185
"EC1","K014","sediment",30
"EC1","K015","sediment",213
"EC1","K016","sediment",256
"EC1","K017","sediment",201
"EC1","K019","sediment",21
"EC1","K021","sediment",206
"EC1","K022","sediment",451
"EC1","K023","sediment",125
"EC1","K024","sediment",127
"EC1","K025","sediment",38
"EC1","K026","sediment",149
"EC1","K027","sediment",420
"EC1","K030","sediment",297
"EC1","K033","sediment",70
"EC1","K034","sediment",209
"EC1","K035","sediment",174
"EC1","K036","sediment",457
"EC1","K037","sediment",211
"EC1","K038","sediment",115
"EC1","K039","sediment",504
"EC1","K040","sediment",40
"EC1","K041","sediment",26
"EC1","K042","sediment",78
"EC1","K043","sediment",15
"EC1","K044","sediment",226
"EC1","K045","sediment",167
"EC1","K046","sediment",259
"EC1","K047","sediment",622
"EC1","K048","sediment",153
"EC1","K049","sediment",74
"EC1","K050","sediment",29
"EC1","K052","sediment",275
"EC1","K053","sediment",151
"EC1","K054","sediment",388
"EC1","K059","sediment",302
"EC1","K060","sediment",164
"EC1","K061","sediment",180
"EC1","K062","sediment",452
