Wavelength_nm	Dilution Corrected Absorbance
230	0.3318923
233	0.3151431
236	0.3016636
239	0.2885979
242	0.2779064
245	0.2681143
248	0.259569
251	0.2518883
254	0.2450676
257	0.2380926
260	0.2309001
263	0.2234356
266	0.2156959
269	0.2077548
272	0.1997781
275	0.1915852
278	0.1830745
281	0.1746806
284	0.1660681
287	0.1575754
290	0.1499641
293	0.143389
296	0.136259
299	0.1294102
302	0.1226974
305	0.1166917
308	0.111121
311	0.1058034
314	0.1007229
317	0.09605325
320	0.09129112
323	0.08676052
326	0.08245092
329	0.07846367
332	0.07467034
335	0.07114127
338	0.06775853
341	0.06444257
344	0.06141503
347	0.05853824
350	0.05584895
353	0.05312601
356	0.05065099
359	0.04827216
362	0.04597703
365	0.04369563
368	0.04158318
371	0.03942283
374	0.03737645
377	0.03548614
380	0.03371926
383	0.03208183
386	0.03043234
389	0.02881848
392	0.02733593
395	0.02594011
398	0.02470418
401	0.02351813
404	0.02237492
407	0.02122361
410	0.02014178
413	0.01909713
416	0.01812751
419	0.017254
422	0.01639834
425	0.01565749
428	0.01493489
431	0.01421862
434	0.01354356
437	0.01293198
440	0.01233051
443	0.01176885
446	0.01121987
449	0.01069029
452	0.01025532
455	0.009835186
458	0.009478646
461	0.009116462
464	0.008805341
467	0.008472018
470	0.008187235
473	0.00788562
476	0.007603099
479	0.007293649
482	0.007002432
485	0.006759222
488	0.006527271
491	0.006284764
494	0.006068118
497	0.005846316
500	0.005635767
503	0.005444566
506	0.005282749
509	0.005114984
512	0.004944548
515	0.004789611
518	0.004623993
521	0.004486805
524	0.004356995
527	0.004215414
530	0.004092709
533	0.003972825
536	0.003855836
539	0.003746307
542	0.003644458
545	0.003539562
548	0.00342967
551	0.003353048
554	0.00327238
557	0.00315698
560	0.003080485
563	0.003012505
566	0.002932989
569	0.002852072
572	0.002798879
575	0.002727643
578	0.002662444
581	0.002604122
584	0.002551286
587	0.002498319
590	0.002440875
593	0.00240565
596	0.002351687
599	0.002297585
602	0.002240629
605	0.002191046
608	0.002132912
611	0.0020844
614	0.002048556
617	0.001992525
620	0.001972063
623	0.001917862
626	0.001867078
629	0.001821564
632	0.00181625
635	0.001783072
638	0.001725128
641	0.001680236
644	0.001637377
647	0.00165247
650	0.001608946
653	0.001554559
656	0.001518471
659	0.001508338
662	0.001506941
665	0.001448667
668	0.001413503
671	0.001372716
674	0.001393263
677	0.00137427
680	0.001330407
683	0.001297183
686	0.001283018
689	0.00128861
692	0.001225681
695	0.001157997
698	0.001114161
701	0.001155729
704	0.001210762
707	0.001228973
710	0.001176349
713	0.00111845
716	0.001043554
719	0.0009664447
722	0.0009353056
725	0.0009743811
728	0.001081762
731	0.001181615
734	0.001255984
737	0.001279588
740	0.001264285
743	0.001280113
746	0.001279361
749	0.001228151
752	0.001169981
755	0.001184362
758	0.00118454
761	0.00115895
764	0.001127207
767	0.001173996
770	0.001105711
773	0.001145787
776	0.001067049
779	0.001020549
782	0.000977581
785	0.001051595
788	0.001089487
791	0.0009890517
794	0.001006264
797	0.0009953958
800	0.001017969
