Wavelength_nm	Dilution Corrected Absorbance
230	0.3581838
233	0.3381514
236	0.3221657
239	0.306969
242	0.2947148
245	0.2836221
248	0.274275
251	0.2659757
254	0.2588698
257	0.2518801
260	0.2449754
263	0.2379719
266	0.2308314
269	0.2235876
272	0.2163168
275	0.2087828
278	0.2010206
281	0.1932193
284	0.1851737
287	0.1770931
290	0.1698739
293	0.1628318
296	0.1566267
299	0.1498067
302	0.1429919
305	0.1367922
308	0.130952
311	0.12533
314	0.1198526
317	0.1148032
320	0.1095718
323	0.1046011
326	0.09977337
329	0.09531698
332	0.09098733
335	0.08694161
338	0.08298854
341	0.07909985
344	0.07549892
347	0.0720305
350	0.0687688
353	0.06544484
356	0.0623637
359	0.05939234
362	0.05651282
365	0.05363273
368	0.05096127
371	0.04823423
374	0.04563955
377	0.04327183
380	0.04105108
383	0.03899816
386	0.03695912
389	0.03495436
392	0.03313732
395	0.03142456
398	0.0299293
401	0.02848817
404	0.02710785
407	0.02571816
410	0.02441226
413	0.02315803
416	0.02201111
419	0.02092814
422	0.01988141
425	0.01897625
428	0.01809255
431	0.01723369
434	0.01641674
437	0.01567404
440	0.01495982
443	0.01430355
446	0.01365238
449	0.01304278
452	0.01254298
455	0.01206231
458	0.01163331
461	0.01121005
464	0.01082912
467	0.01044231
470	0.01011351
473	0.009750391
476	0.009407668
479	0.009015937
482	0.008683514
485	0.008388578
488	0.008093937
491	0.007804704
494	0.007550626
497	0.007275761
500	0.007017318
503	0.00679143
506	0.006592683
509	0.006394999
512	0.006176153
515	0.005987477
518	0.005787888
521	0.00562657
524	0.005461742
527	0.005282033
530	0.005138903
533	0.004987448
536	0.004847898
539	0.004719524
542	0.004595647
545	0.004467154
548	0.004341334
551	0.004223682
554	0.004111772
557	0.004014066
560	0.003917762
563	0.003833051
566	0.00373449
569	0.003648515
572	0.003570563
575	0.003495174
578	0.003426126
581	0.003351613
584	0.003283409
587	0.003214431
590	0.003131976
593	0.003088879
596	0.00302565
599	0.002961168
602	0.002899922
605	0.002837297
608	0.002777562
611	0.002749047
614	0.002678588
617	0.002627745
620	0.002587839
623	0.002532763
626	0.002496549
629	0.002451335
632	0.002410742
635	0.002362735
638	0.002321785
641	0.002287315
644	0.002236127
647	0.002190171
650	0.002137138
653	0.002098388
656	0.002077719
659	0.002058307
662	0.002014925
665	0.001988476
668	0.001936398
671	0.001911386
674	0.001876782
677	0.001836695
680	0.001794708
683	0.001760508
686	0.001749439
689	0.001728118
692	0.001673984
695	0.00164568
698	0.001634322
701	0.001599661
704	0.001668166
707	0.001679549
710	0.001647303
713	0.001579913
716	0.001503854
719	0.001448644
722	0.001426423
725	0.001440961
728	0.001508682
731	0.001607402
734	0.001651659
737	0.001701527
740	0.001697592
743	0.001687394
746	0.001690019
749	0.0016929
752	0.001659921
755	0.00161901
758	0.001603597
761	0.001580661
764	0.001583888
767	0.001592213
770	0.001531361
773	0.001565932
776	0.001556712
779	0.001579031
782	0.001551313
785	0.001521432
788	0.001510118
791	0.0014995
794	0.001437714
797	0.001422721
800	0.001442974
