Wavelength_nm	Dilution Corrected Absorbance
230	0.435478
233	0.3732682
236	0.3341272
239	0.3050711
242	0.2858603
245	0.2710903
248	0.2598957
251	0.2506475
254	0.2429821
257	0.2355684
260	0.2283742
263	0.2213061
266	0.2142195
269	0.2069669
272	0.1997018
275	0.1921458
278	0.1842108
281	0.1761042
284	0.1678054
287	0.1594799
290	0.1519993
293	0.1454093
296	0.1381851
299	0.1311661
302	0.1241978
305	0.1179052
308	0.1120366
311	0.1064008
314	0.1010279
317	0.09608282
320	0.09106579
323	0.08635199
326	0.08187568
329	0.07781947
332	0.07396134
335	0.07042796
338	0.06703441
341	0.0637578
344	0.06077829
347	0.05793461
350	0.0552731
353	0.05260269
356	0.05014586
359	0.04775796
362	0.04546906
365	0.04315565
368	0.0410245
371	0.03887604
374	0.03680039
377	0.03492025
380	0.03314347
383	0.03150488
386	0.0298672
389	0.02828713
392	0.02679749
395	0.02544976
398	0.02423741
401	0.02310101
404	0.02196758
407	0.02087003
410	0.01982774
413	0.01884186
416	0.01790421
419	0.01710049
422	0.01626151
425	0.01552938
428	0.01482342
431	0.01411392
434	0.01343847
437	0.01280486
440	0.01218648
443	0.01160506
446	0.01103635
449	0.01049984
452	0.010057
455	0.009635105
458	0.009275445
461	0.008924074
464	0.008612342
467	0.008283299
470	0.008013862
473	0.007710075
476	0.007424732
479	0.007093759
482	0.006835566
485	0.006620603
488	0.00637533
491	0.006130224
494	0.005927522
497	0.005732064
500	0.005498092
503	0.005294968
506	0.005112037
509	0.004937132
512	0.004744013
515	0.004580443
518	0.004422394
521	0.004268805
524	0.004135625
527	0.003979568
530	0.003831234
533	0.003712204
536	0.003595985
539	0.003484854
542	0.003399683
545	0.003287739
548	0.003196503
551	0.003124877
554	0.003040623
557	0.002973757
560	0.002901649
563	0.002829766
566	0.002752651
569	0.002681818
572	0.002603742
575	0.002524257
578	0.002457866
581	0.002413015
584	0.002351357
587	0.002301861
590	0.002268548
593	0.002195748
596	0.002145569
599	0.002132949
602	0.002089649
605	0.002025058
608	0.002024255
611	0.002009126
614	0.001978495
617	0.0019715
620	0.001934734
623	0.001903338
626	0.001868107
629	0.001846858
632	0.001809718
635	0.001774295
638	0.001730544
641	0.001708517
644	0.001687395
647	0.001641945
650	0.001620625
653	0.001589387
656	0.001581705
659	0.001536292
662	0.001484532
665	0.0014618
668	0.001432907
671	0.001439608
674	0.001433847
677	0.001393207
680	0.001401741
683	0.001378522
686	0.001336369
689	0.001283682
692	0.001280285
695	0.001255696
698	0.00123365
701	0.001225448
704	0.001254694
707	0.001241824
710	0.001259244
713	0.001180774
716	0.001128775
719	0.001080974
722	0.001048255
725	0.00105898
728	0.001096743
731	0.001125856
734	0.001186366
737	0.001206937
740	0.001181262
743	0.001156486
746	0.001150387
749	0.001131048
752	0.001128154
755	0.0011138
758	0.001088713
761	0.001038679
764	0.001049082
767	0.001095035
770	0.001027689
773	0.001047439
776	0.001089699
779	0.001017486
782	0.0009593036
785	0.001058593
788	0.0009822764
791	0.0009645966
794	0.001039197
797	0.001053623
800	0.001059626
