Wavelength_nm	Dilution Corrected Absorbance
230	1.332616
233	1.267429
236	1.213328
239	1.160231
242	1.117001
245	1.077194
248	1.043843
251	1.012922
254	0.9869271
257	0.9604614
260	0.9337098
263	0.9061542
266	0.8769264
269	0.8466474
272	0.8151213
275	0.7826463
278	0.7487379
281	0.7147299
284	0.6798747
287	0.646215
290	0.6152025
293	0.5854446
296	0.5590653
299	0.5312463
302	0.5042211
305	0.4800237
308	0.4576566
311	0.4363374
314	0.4160655
317	0.3973371
320	0.3782547
323	0.3600333
326	0.342615
329	0.3265044
332	0.3110619
335	0.2966727
338	0.2828504
341	0.269344
344	0.2569757
347	0.2451596
350	0.2341741
353	0.2230763
356	0.2128893
359	0.2031994
362	0.1938153
365	0.1844941
368	0.1758376
371	0.1670193
374	0.1586406
377	0.1510229
380	0.1438495
383	0.1371698
386	0.1305002
389	0.1239635
392	0.1178818
395	0.112237
398	0.1072078
401	0.1023452
404	0.09765978
407	0.09295938
410	0.0885414
413	0.08426892
416	0.0802761
419	0.07671492
422	0.07321779
425	0.0701856
428	0.06720471
431	0.06423018
434	0.06144477
437	0.05890503
440	0.05637978
443	0.05395278
446	0.05159472
449	0.0493395
452	0.04752639
455	0.0458106
458	0.04438512
461	0.0429156
464	0.04160004
467	0.04028532
470	0.03913206
473	0.03791304
476	0.03673866
479	0.03541635
482	0.03423219
485	0.03322971
488	0.03221685
491	0.03115686
494	0.03024897
497	0.02936246
500	0.02844708
503	0.02764784
506	0.02695489
509	0.02623214
512	0.02550686
515	0.02483137
518	0.02410575
521	0.02348884
524	0.02294559
527	0.02236823
530	0.02184577
533	0.02128351
536	0.02080256
539	0.02033245
542	0.01991399
545	0.01949006
548	0.01901413
551	0.01866047
554	0.01829122
557	0.01783583
560	0.01753861
563	0.01720387
566	0.01688072
569	0.01657289
572	0.01630842
575	0.01597719
578	0.01570302
581	0.01545813
584	0.01518482
587	0.01491073
590	0.01464956
593	0.01447167
596	0.01418432
599	0.01396388
602	0.01369377
605	0.0134577
608	0.0132812
611	0.01300306
614	0.01278409
617	0.01253791
620	0.01239604
623	0.01227801
626	0.01203715
629	0.01174508
632	0.01156445
635	0.01136513
638	0.01118986
641	0.01091492
644	0.01066497
647	0.01058179
650	0.01046082
653	0.01025854
656	0.01005871
659	0.00991833
662	0.009807738
665	0.009668211
668	0.009551226
671	0.009284466
674	0.009199851
677	0.009028191
680	0.008949876
683	0.008747946
686	0.008560407
689	0.00844836
692	0.008271864
695	0.008074977
698	0.007748148
701	0.007803735
704	0.007844724
707	0.008082699
710	0.008012319
713	0.007744821
716	0.007331253
719	0.006947262
722	0.006748782
725	0.006953937
728	0.007427796
731	0.007911297
734	0.008292003
737	0.008376483
740	0.008267457
743	0.008167152
746	0.008073258
749	0.007944807
752	0.007800117
755	0.007695558
758	0.007455018
761	0.007256313
764	0.007237227
767	0.007375182
770	0.006957738
773	0.006933987
776	0.006839346
779	0.00679368
782	0.006717156
785	0.006699657
788	0.006597072
791	0.006409833
794	0.006497799
797	0.00632916
800	0.006460932
