Wavelength_nm	Dilution Corrected Absorbance
230	0.1778475
233	0.1607457
236	0.149366
239	0.1401121
242	0.1335703
245	0.1283069
248	0.1241593
251	0.1204641
254	0.1174744
257	0.1144983
260	0.111601
263	0.1086714
266	0.1056722
269	0.102557
272	0.09933374
275	0.09601035
278	0.09249028
281	0.08897361
284	0.08539838
287	0.08148393
290	0.07907346
293	0.07598069
296	0.07296722
299	0.06996307
302	0.06693344
305	0.06413029
308	0.06148685
311	0.05895508
314	0.05653006
317	0.05429637
320	0.05202857
323	0.04989598
326	0.04784922
329	0.04598457
332	0.04417059
335	0.04246544
338	0.04080247
341	0.0391379
344	0.03757458
347	0.03603949
350	0.03457517
353	0.03304524
356	0.03161251
359	0.03021956
362	0.02883704
365	0.02743448
368	0.02613305
371	0.02477154
374	0.02344805
377	0.02225056
380	0.02111272
383	0.02005051
386	0.01896918
389	0.0179188
392	0.01694709
395	0.01606288
398	0.01527215
401	0.01451844
404	0.01380165
407	0.01306814
410	0.01239444
413	0.0117617
416	0.01112663
419	0.01058216
422	0.01004116
425	0.009579984
428	0.009109596
431	0.008642985
434	0.008214005
437	0.007816015
440	0.007432198
443	0.007070783
446	0.006737941
449	0.006430281
452	0.006190775
455	0.005937253
458	0.005729132
461	0.005540277
464	0.005378845
467	0.005231668
470	0.005087831
473	0.004925049
476	0.004731531
479	0.004498567
482	0.004303818
485	0.004133751
488	0.003969598
491	0.003814404
494	0.003671283
497	0.003530275
500	0.003384593
503	0.003247831
506	0.003117631
509	0.003006974
512	0.002865738
515	0.002755399
518	0.002635967
521	0.002542291
524	0.002436073
527	0.002342648
530	0.002255358
533	0.002177931
536	0.002076151
539	0.002023355
542	0.001963261
545	0.001867817
548	0.001793867
551	0.001754775
554	0.001706033
557	0.001630067
560	0.00157618
563	0.001528977
566	0.0014751
569	0.001427627
572	0.001393984
575	0.001362393
578	0.001308024
581	0.001281049
584	0.001249129
587	0.001208178
590	0.001169768
593	0.001140702
596	0.001109386
599	0.001050797
602	0.001035959
605	0.001015735
608	0.001005784
611	0.0009910136
614	0.0009855695
617	0.0009744816
620	0.0009289115
623	0.0008891763
626	0.0008564053
629	0.0008399387
632	0.0008063036
635	0.0007940326
638	0.0007710825
641	0.0007335261
644	0.0007184195
647	0.0007104122
650	0.0006714504
653	0.0006586327
656	0.00065304
659	0.0006409627
662	0.0006380823
665	0.0006208213
668	0.0006065931
671	0.0006061895
674	0.0005804315
677	0.0005543809
680	0.0005462339
683	0.0005349157
686	0.0005162333
689	0.0004970119
692	0.0004643094
695	0.0004536016
698	0.0004236942
701	0.0004878209
704	0.0005746823
707	0.0005180991
710	0.0004442612
713	0.0004275121
716	0.0003883384
719	0.0003225768
722	0.0002696647
725	0.0002492167
728	0.0002958921
731	0.0003420677
734	0.000423535
737	0.0004144977
740	0.0003790173
743	0.0003853246
746	0.0003664954
749	0.0003663998
752	0.0003563128
755	0.0003837893
758	0.0003734767
761	0.0003746408
764	0.0003939581
767	0.0004282264
770	0.0004147511
773	0.0004161194
776	0.0004863242
779	0.0003922513
782	0.0004167835
785	0.0005078639
788	0.0004055906
791	0.000352234
794	0.0004403959
797	0.0004323546
800	0.0004216906
