Wavelength_nm	Dilution Corrected Absorbance
230	0.6720186
233	0.6355908
236	0.6076866
239	0.5826072
242	0.5635131
245	0.5453328
248	0.5309013
251	0.5172669
254	0.5063154
257	0.49521
260	0.4843578
263	0.4730559
266	0.4610742
269	0.4490661
272	0.4361685
275	0.4231773
278	0.4098213
281	0.3961341
284	0.3822228
287	0.3677259
290	0.3554589
293	0.3456891
296	0.333828
299	0.3217299
302	0.3097164
305	0.2981301
308	0.2874043
311	0.2768653
314	0.2666204
317	0.2570033
320	0.2473142
323	0.2378055
326	0.2287138
329	0.2202841
332	0.2120142
335	0.2041724
338	0.196385
341	0.1885335
344	0.1811757
347	0.1738757
350	0.1670163
353	0.1600025
356	0.1532449
359	0.1469112
362	0.1405179
365	0.1341736
368	0.1281595
371	0.1219979
374	0.1160791
377	0.1106583
380	0.1056257
383	0.1010047
386	0.09631086
389	0.09184407
392	0.08771313
395	0.08386914
398	0.08047554
401	0.07723107
404	0.07406574
407	0.07092921
410	0.06794361
413	0.06506799
416	0.0623583
419	0.05994831
422	0.05755455
425	0.05539788
428	0.05346525
431	0.05153028
434	0.04975935
437	0.04807764
440	0.04630158
443	0.04455513
446	0.04295511
449	0.04152093
452	0.04034013
455	0.03927132
458	0.03828645
461	0.03736296
464	0.03643098
467	0.03553284
470	0.03468603
473	0.03377931
476	0.03294657
479	0.03200841
482	0.03110442
485	0.03035634
488	0.02951697
491	0.02877178
494	0.02808139
497	0.02739672
500	0.02666128
503	0.02597228
506	0.02532738
509	0.02466372
512	0.02401445
515	0.0234444
518	0.02284288
521	0.02231484
524	0.0218257
527	0.02131382
530	0.02084308
533	0.02042314
536	0.01992338
539	0.01953023
542	0.01912831
545	0.01877764
548	0.01841149
551	0.01804417
554	0.01674402
557	0.01734891
560	0.01710974
563	0.01681802
566	0.01649569
569	0.01621484
572	0.01593235
575	0.01573415
578	0.01552616
581	0.01528303
584	0.0149698
587	0.01470258
590	0.01450686
593	0.01431652
596	0.01412513
599	0.01392868
602	0.01368852
605	0.01349439
608	0.01333791
611	0.01314111
614	0.01299291
617	0.01284039
620	0.01268783
623	0.01253839
626	0.01228369
629	0.0120873
632	0.01186512
635	0.01173595
638	0.01152718
641	0.01136531
644	0.0111527
647	0.01089689
650	0.0107505
653	0.01071439
656	0.01063567
659	0.01050885
662	0.0103774
665	0.01026337
668	0.01018782
671	0.01011977
674	0.009932043
677	0.009622473
680	0.009491013
683	0.009350418
686	0.009336762
689	0.009145671
692	0.008961636
695	0.008759799
698	0.008680185
701	0.008790834
704	0.008848818
707	0.008789868
710	0.008596239
713	0.008192367
716	0.007712721
719	0.007321422
722	0.007281372
725	0.007471863
728	0.007793907
731	0.00807942
734	0.008200146
737	0.008148129
740	0.008007096
743	0.007814757
746	0.007653765
749	0.007482975
752	0.00735075
755	0.007218018
758	0.007061883
761	0.006989145
764	0.006891381
767	0.006774732
770	0.006695325
773	0.006656712
776	0.006659757
779	0.006572082
782	0.006392874
785	0.006330084
788	0.006206352
791	0.006343629
794	0.006269733
797	0.006288945
800	0.006197142
