Wavelength_nm	Dilution Corrected Absorbance
230	0.3395118
233	0.3241183
236	0.3111657
239	0.2985614
242	0.2887916
245	0.2798296
248	0.2722725
251	0.2656132
254	0.2602629
257	0.2548432
260	0.2494698
263	0.243893
266	0.2379501
269	0.231713
272	0.2251716
275	0.2184187
278	0.2114366
281	0.2044512
284	0.1972858
287	0.1901987
290	0.1838018
293	0.1775672
296	0.172065
299	0.1656486
302	0.1591868
305	0.1530512
308	0.1472113
311	0.141462
314	0.1359069
317	0.1307622
320	0.1255099
323	0.1204868
326	0.115662
329	0.1112087
332	0.1068878
335	0.1027615
338	0.09876559
341	0.09474726
344	0.09098201
347	0.08725528
350	0.08372699
353	0.08006808
356	0.07659279
359	0.07324862
362	0.06993126
365	0.06661312
368	0.06351526
371	0.06033719
374	0.05730643
377	0.05456391
380	0.05201434
383	0.04967649
386	0.04735138
389	0.04508444
392	0.04300348
395	0.04109001
398	0.03939141
401	0.03773965
404	0.03613524
407	0.03450238
410	0.03292111
413	0.03146863
416	0.03003997
419	0.02876544
422	0.02754577
425	0.02649841
428	0.02548536
431	0.02450061
434	0.02359754
437	0.02277471
440	0.02197999
443	0.02123096
446	0.02048981
449	0.01977846
452	0.0192137
455	0.01866193
458	0.01820462
461	0.01774799
464	0.01731991
467	0.01687503
470	0.01647384
473	0.01603578
476	0.01561958
479	0.01511091
482	0.01469436
485	0.01431802
488	0.01392883
491	0.01355433
494	0.01322182
497	0.01286346
500	0.01251767
503	0.01220609
506	0.01192343
509	0.01163936
512	0.01135446
515	0.01110772
518	0.01082834
521	0.01061161
524	0.0103734
527	0.01014743
530	0.009938538
533	0.009742755
536	0.009521485
539	0.009349529
542	0.009172554
545	0.008981825
548	0.00882747
551	0.008673803
554	0.008511851
557	0.008355199
560	0.008231045
563	0.008098549
566	0.007956528
569	0.007808569
572	0.007686499
575	0.007572061
578	0.007453834
581	0.0073462
584	0.007244865
587	0.007148268
590	0.007054197
593	0.006966879
596	0.006882068
599	0.006777874
602	0.006699508
605	0.006590437
608	0.00649006
611	0.006427934
614	0.006342562
617	0.006247872
620	0.006182915
623	0.006100317
626	0.006030202
629	0.005939589
632	0.005860401
635	0.005789032
638	0.005702238
641	0.005610882
644	0.005550954
647	0.005496324
650	0.005374761
653	0.005321894
656	0.005274042
659	0.005206654
662	0.005112356
665	0.005049551
668	0.005001484
671	0.004954803
674	0.004908819
677	0.004826707
680	0.004791938
683	0.004745502
686	0.004691458
689	0.004626534
692	0.004548925
695	0.004490426
698	0.004380945
701	0.004347482
704	0.004360494
707	0.004366819
710	0.004276034
713	0.004151045
716	0.004032007
719	0.00390601
722	0.003793607
725	0.003820156
728	0.003941447
731	0.004077771
734	0.004206055
737	0.004223717
740	0.00419124
743	0.004128222
746	0.004048735
749	0.004010081
752	0.003965936
755	0.0038972
758	0.003858139
761	0.003780143
764	0.003778588
767	0.003815923
770	0.003715844
773	0.003682646
776	0.003692035
779	0.003559766
782	0.003513095
785	0.003537634
788	0.00350248
791	0.003428943
794	0.003448485
797	0.003371143
800	0.003368321
