do_uM_hr,gwc_perc,tc_perc,tn_perc,doc_mgl,tdn_mgl,ph,sal_psu,alk_mgl_caco3,tss_mgl,latitude,longitude,elevation_m,mat_c,monthly_precip,bd,clay,sand,silt,transect_num
12.532030769558569,213,3.76,0.36333333333333334,4.5,0.557,7.29,16.05,67,63.08,37.4147,-76.7161,0,14.8,3.29,1.5550000000000002,25.1,43.85,31.066666666666663,1
770.328947368421,71,2.32,0.165,4.5,0.557,7.29,16.05,67,63.08,37.4142,-76.715,0.7,14.8,3.29,1.5550000000000002,25.1,43.85,31.066666666666663,3
7.5107202818363135,34,5.467,0.464,4.5,0.557,7.29,16.05,67,63.08,37.4142,-76.715,0.7,14.8,3.29,1.5550000000000002,25.1,43.85,31.066666666666663,4
58.04396036396134,223,6.534,0.546,4.5,0.557,7.29,16.05,67,63.08,37.4144,-76.7153,0.67,14.8,3.29,1.5550000000000002,25.1,43.85,31.066666666666663,2
7.8375319083564,85,3.641,0.393,5.08,0.436,7.07,2.7,33,89.25,37.5687,-76.8871,0.36,14.8,3.29,1.5666666666666669,25.25,42.16666666666667,32.56666666666667,3
10.114668394105324,8,3.665,0.374,5.08,0.436,7.07,2.7,33,89.25,37.5687,-76.887200000000007,0.84,14.8,3.29,1.5666666666666669,25.25,42.16666666666667,32.56666666666667,4
452.20882905368654,494,6.922,0.738,5.08,0.436,7.07,2.7,33,89.25,37.5687,-76.8869,0.42,14.8,3.29,1.5666666666666669,25.25,42.16666666666667,32.56666666666667,2
12.538412816223962,38,0.94,0.06,5.78,0.742,6.44,2.65,40,27.52,38.8873,-76.5621,0.31,13.51,3.17,1.5066666666666668,30.96666666666667,28.033333333333335,41.016666666666666,1
14.971327110057242,173,7.78,0.645,5.78,0.742,6.44,2.65,40,27.52,38.8873,-76.5621,0.31,13.51,3.17,1.5066666666666668,30.96666666666667,28.033333333333335,41.016666666666666,3
7.726635745941723,22,5.731,0.395,5.78,0.742,6.44,2.65,40,27.52,38.8872,-76.5623,0.76,13.51,3.17,1.5066666666666668,30.96666666666667,28.033333333333335,41.016666666666666,4
14.409205090241294,150,3.587,0.34,5.78,0.742,6.44,2.65,40,27.52,38.8873,-76.5621,0.31,13.51,3.17,1.5066666666666668,30.96666666666667,28.033333333333335,41.016666666666666,2
161.1647605384533,149,2.716666666666667,0.25666666666666665,6.33,1.439,7.38,31.86,131,381.9,37.7106,-75.6117,2.96,15.27,3.5,1.575,10.416666666666668,69.5,20.1,1
11.957185662198306,54,12.052,1.119,6.33,1.439,7.38,31.86,131,381.9,37.7128,-75.6086,1.29,15.27,3.5,1.575,10.416666666666668,69.5,20.1,3
2.892304466245596,10,1.293,0.139,6.33,1.439,7.38,31.86,131,381.9,37.7129,-75.6085,1.37,15.27,3.5,1.575,10.416666666666668,69.5,20.1,4
