kit_id,bd,clay,sand,silt
K015,1.5550000000000002,25.1,43.85,31.066666666666666
K017,1.5666666666666669,25.25,42.16666666666667,32.56666666666667
K018,1.47,22.51666666666667,48.88333333333334,28.583333333333336
K025,1.5066666666666668,30.96666666666667,28.033333333333335,41.016666666666666
K026,1.575,10.416666666666668,69.5,20.1
K030,1.5483333333333333,23.05,34.766666666666666,42.18333333333334
K034,1.5666666666666667,23.833333333333336,36.083333333333336,40.1
K037,1.58,21.983333333333334,43.71666666666667,34.35
K041,1.5183333333333333,10.450000000000001,69.58333333333334,19.983333333333334
K044,1.51,27.56666666666667,28.96666666666667,43.45
K050,1.5816666666666668,24.083333333333336,45.95,29.950000000000003
K052,1.5983333333333334,20.96666666666667,40.7,38.333333333333336
K054,1.565,17.133333333333333,43.63333333333334,39.233333333333334
K059,1.525,28.083333333333336,11.916666666666668,60
K062,1.4633333333333334,27.383333333333336,30.55,42.06666666666667
