#--- Experiment --------------------------------------------------------------------------
#K022_Drawdown_GHG_Analysis
#This is a trial of the O2 drawdown of the K022 study site.
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.3.1406   www.pyroscience.com
#WE37639
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:24E144015D64A6DD Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - XB7-535-216
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/18/2021	12/31/2000	22.283400	53.500000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1014.140015	19.957533	45.544998	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.29°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (mg/L) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
18-10-2021	13:50:48.214	17.162	0.388	49.599	725	0	OK	18-10-2021	13:50:48.214	17.162	19.992	OK	18-10-2021	13:50:48.214	17.162	1014	OK
18-10-2021	13:51:18.211	47.159	0.359	49.868	729	0	OK	18-10-2021	13:51:18.211	47.159	19.996	OK	18-10-2021	13:51:18.211	47.159	1014	OK
18-10-2021	13:51:48.215	77.163	0.338	50.066	731	0	OK	18-10-2021	13:51:48.215	77.163	19.993	OK	18-10-2021	13:51:48.215	77.163	1014	OK
18-10-2021	13:52:18.214	107.162	0.213	51.280	744	0	OK	18-10-2021	13:52:18.214	107.162	19.995	OK	18-10-2021	13:52:18.214	107.162	1014	OK
18-10-2021	13:52:48.216	137.164	0.171	51.706	679	0	OK	18-10-2021	13:52:48.216	137.164	19.998	OK	18-10-2021	13:52:48.216	137.164	1014	OK
18-10-2021	13:53:18.220	167.168	0.150	51.913	681	0	OK	18-10-2021	13:53:18.220	167.168	19.997	OK	18-10-2021	13:53:18.220	167.168	1014	OK
18-10-2021	13:53:48.227	197.174	0.143	51.986	681	0	OK	18-10-2021	13:53:48.227	197.174	20.000	OK	18-10-2021	13:53:48.227	197.174	1014	OK
18-10-2021	13:54:18.231	227.179	0.143	51.984	680	0	OK	18-10-2021	13:54:18.231	227.179	20.004	OK	18-10-2021	13:54:18.231	227.179	1014	OK
18-10-2021	13:54:48.222	257.170	0.142	51.995	680	0	OK	18-10-2021	13:54:48.222	257.170	19.999	OK	18-10-2021	13:54:48.222	257.170	1014	OK
18-10-2021	13:55:18.231	287.179	0.139	52.026	681	0	OK	18-10-2021	13:55:18.231	287.179	19.995	OK	18-10-2021	13:55:18.231	287.179	1014	OK
18-10-2021	13:55:48.227	317.175	0.135	52.074	681	0	OK	18-10-2021	13:55:48.227	317.175	19.999	OK	18-10-2021	13:55:48.227	317.175	1014	OK
18-10-2021	13:56:18.222	347.170	0.131	52.116	681	0	OK	18-10-2021	13:56:18.222	347.170	19.995	OK	18-10-2021	13:56:18.222	347.170	1014	OK
18-10-2021	13:56:48.222	377.170	0.126	52.162	681	0	OK	18-10-2021	13:56:48.222	377.170	19.999	OK	18-10-2021	13:56:48.222	377.170	1014	OK
18-10-2021	13:57:18.229	407.177	0.120	52.222	682	0	OK	18-10-2021	13:57:18.229	407.177	20.000	OK	18-10-2021	13:57:18.229	407.177	1014	OK
18-10-2021	13:57:48.228	437.175	0.115	52.276	682	0	OK	18-10-2021	13:57:48.228	437.175	20.001	OK	18-10-2021	13:57:48.228	437.175	1014	OK
18-10-2021	13:58:18.221	467.169	0.111	52.314	682	0	OK	18-10-2021	13:58:18.221	467.169	20.002	OK	18-10-2021	13:58:18.221	467.169	1014	OK
18-10-2021	13:58:48.224	497.172	0.106	52.367	682	0	OK	18-10-2021	13:58:48.224	497.172	19.999	OK	18-10-2021	13:58:48.224	497.172	1014	OK
18-10-2021	13:59:18.223	527.171	0.104	52.393	683	0	OK	18-10-2021	13:59:18.223	527.171	20.002	OK	18-10-2021	13:59:18.223	527.171	1014	OK
18-10-2021	13:59:48.226	557.174	0.100	52.438	683	0	OK	18-10-2021	13:59:48.226	557.174	19.998	OK	18-10-2021	13:59:48.226	557.174	1014	OK
18-10-2021	14:00:18.230	587.178	0.096	52.475	683	0	OK	18-10-2021	14:00:18.230	587.178	20.002	OK	18-10-2021	14:00:18.230	587.178	1014	OK
18-10-2021	14:00:48.230	617.178	0.094	52.501	683	0	OK	18-10-2021	14:00:48.230	617.178	20.003	OK	18-10-2021	14:00:48.230	617.178	1014	OK
18-10-2021	14:01:18.229	647.177	0.090	52.534	683	0	OK	18-10-2021	14:01:18.229	647.177	20.005	OK	18-10-2021	14:01:18.229	647.177	1014	OK
18-10-2021	14:01:48.223	677.171	0.088	52.555	684	0	OK	18-10-2021	14:01:48.223	677.171	20.003	OK	18-10-2021	14:01:48.223	677.171	1014	OK
18-10-2021	14:02:18.229	707.177	0.086	52.580	684	0	OK	18-10-2021	14:02:18.229	707.177	20.008	OK	18-10-2021	14:02:18.229	707.177	1014	OK
18-10-2021	14:02:48.229	737.177	0.084	52.605	684	0	OK	18-10-2021	14:02:48.229	737.177	20.007	OK	18-10-2021	14:02:48.229	737.177	1014	OK
18-10-2021	14:03:18.231	767.179	0.082	52.624	684	0	OK	18-10-2021	14:03:18.231	767.179	20.010	OK	18-10-2021	14:03:18.231	767.179	1014	OK
18-10-2021	14:03:48.225	797.173	0.080	52.641	683	0	OK	18-10-2021	14:03:48.225	797.173	20.008	OK	18-10-2021	14:03:48.225	797.173	1014	OK
18-10-2021	14:04:18.231	827.179	0.079	52.652	684	0	OK	18-10-2021	14:04:18.231	827.179	20.007	OK	18-10-2021	14:04:18.231	827.179	1014	OK
18-10-2021	14:04:48.231	857.179	0.076	52.681	684	0	OK	18-10-2021	14:04:48.231	857.179	20.006	OK	18-10-2021	14:04:48.231	857.179	1014	OK
18-10-2021	14:05:18.231	887.179	0.076	52.689	684	0	OK	18-10-2021	14:05:18.231	887.179	20.006	OK	18-10-2021	14:05:18.231	887.179	1014	OK
18-10-2021	14:05:48.232	917.180	0.074	52.705	684	0	OK	18-10-2021	14:05:48.232	917.180	20.006	OK	18-10-2021	14:05:48.232	917.180	1014	OK
18-10-2021	14:06:18.226	947.174	0.073	52.712	684	0	OK	18-10-2021	14:06:18.226	947.174	20.008	OK	18-10-2021	14:06:18.226	947.174	1014	OK
18-10-2021	14:06:48.246	977.194	0.072	52.727	684	0	OK	18-10-2021	14:06:48.246	977.194	20.008	OK	18-10-2021	14:06:48.246	977.194	1014	OK
18-10-2021	14:07:18.230	1007.178	0.072	52.731	684	0	OK	18-10-2021	14:07:18.230	1007.178	20.004	OK	18-10-2021	14:07:18.230	1007.178	1014	OK
18-10-2021	14:07:48.234	1037.182	0.071	52.740	683	0	OK	18-10-2021	14:07:48.234	1037.182	20.004	OK	18-10-2021	14:07:48.234	1037.182	1014	OK
18-10-2021	14:08:18.233	1067.181	0.069	52.762	684	0	OK	18-10-2021	14:08:18.233	1067.181	20.006	OK	18-10-2021	14:08:18.233	1067.181	1014	OK
18-10-2021	14:08:48.232	1097.180	0.069	52.758	684	0	OK	18-10-2021	14:08:48.232	1097.180	20.002	OK	18-10-2021	14:08:48.232	1097.180	1014	OK
18-10-2021	14:09:18.230	1127.178	0.068	52.765	684	0	OK	18-10-2021	14:09:18.230	1127.178	20.002	OK	18-10-2021	14:09:18.230	1127.178	1014	OK
18-10-2021	14:09:48.247	1157.195	0.069	52.762	683	0	OK	18-10-2021	14:09:48.247	1157.195	20.004	OK	18-10-2021	14:09:48.247	1157.195	1014	OK
18-10-2021	14:10:18.231	1187.179	0.067	52.777	684	0	OK	18-10-2021	14:10:18.231	1187.179	19.997	OK	18-10-2021	14:10:18.231	1187.179	1014	OK
18-10-2021	14:10:48.270	1217.218	0.067	52.780	683	0	OK	18-10-2021	14:10:48.270	1217.218	20.001	OK	18-10-2021	14:10:48.270	1217.218	1014	OK
18-10-2021	14:11:18.235	1247.183	0.067	52.784	683	0	OK	18-10-2021	14:11:18.235	1247.183	19.999	OK	18-10-2021	14:11:18.235	1247.183	1014	OK
18-10-2021	14:11:48.234	1277.182	0.066	52.796	683	0	OK	18-10-2021	14:11:48.234	1277.182	19.993	OK	18-10-2021	14:11:48.234	1277.182	1014	OK
18-10-2021	14:12:18.238	1307.185	0.064	52.808	683	0	OK	18-10-2021	14:12:18.238	1307.185	19.989	OK	18-10-2021	14:12:18.238	1307.185	1014	OK
18-10-2021	14:12:48.239	1337.187	0.065	52.798	683	0	OK	18-10-2021	14:12:48.239	1337.187	19.985	OK	18-10-2021	14:12:48.239	1337.187	1014	OK
18-10-2021	14:13:18.242	1367.189	0.065	52.806	683	0	OK	18-10-2021	14:13:18.242	1367.189	19.986	OK	18-10-2021	14:13:18.242	1367.189	1014	OK
18-10-2021	14:13:48.231	1397.179	0.064	52.811	683	0	OK	18-10-2021	14:13:48.231	1397.179	19.986	OK	18-10-2021	14:13:48.231	1397.179	1014	OK
18-10-2021	14:14:18.234	1427.182	0.064	52.812	683	0	OK	18-10-2021	14:14:18.234	1427.182	19.980	OK	18-10-2021	14:14:18.234	1427.182	1014	OK
