IGSN,Sample Name,Sample Type,Material,Classification,Field Name,Description,Age Min,Age Max,Age Unit,collection Method,Collection Method Descr,Size,Size Unit,Geological Age,Geological Unit,Comment,Purpose,Release Date,Latitude,Latitude End,Longitude,Longitude End,Elevation,Elevation End,Elevation Unit,Depth Min,Depth Max,Depth Scale,Nav Type Name,Physiographic Feature,Name of Physiographic Feature,Biome,Location Description,Locality,Locality Description,Country,State/Province,City,Field Program/Cruise,Platform Type,Platform Name,Platform Description,Launch Type Name,Launch Platform Name,Launch Id,Collector/Chief Scientist,Collector/Chief Scientist Detail,Collection date,collection End Date,collection Start Time,collection End Time,Collection date precision,Current Archive,Current Archive Contact,Original Archive,Original Archive Contact,Cur Registrant Name,Org Registrant Name,classification Comment,Is Archived,URL
IEEXG0001,EC1_K001_WATER_40ML_FILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.6228,NA,-83.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0001
IEEXG0002,EC1_K001_WATER_15ML_FILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.6228,NA,-83.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0002
IEEXG0003,EC1_K001_WATER_1L_UNFILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.6228,NA,-83.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0003
IEEXG0004,EC1_K001_WATER_125ML_UNFILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.6228,NA,-83.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0004
IEEXG0005,EC1_K001_WATER_FILTER,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.6228,NA,-83.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0005
IEEXG0006,EC1_K001_SEDIMENT_JAR,Individual Sample,Sediment,NA,Surface Sediment,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.6228,NA,-83.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0006
IEEXG0007,EC1_K001_SEDIMENT_BAG,Individual Sample,Sediment,NA,Surface Sediment,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.6228,NA,-83.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0007
IEEXG0008,EC1_K001_WETLAND_JAR,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.62182,NA,-83.23883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Wetland,Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0008
IEEXG0009,EC1_K001_WETLAND_BAG,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.62182,NA,-83.23883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Wetland,Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0009
IEEXG000A,EC1_K001_WETLAND_RING,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.62182,NA,-83.23883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Wetland,Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG000A
IEEXG000B,EC1_K001_UPLAND_JAR,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.61511,NA,-83.22979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Upland,Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG000B
IEEXG000C,EC1_K001_UPLAND_BAG,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.61511,NA,-83.22979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Upland,Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG000C
IEEXG000D,EC1_K001_UPLAND_RING,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.61511,NA,-83.22979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Upland,Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG000D
IEEXG000E,EC1_K001_TRANSITION_JAR,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.62186,NA,-83.23813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Transition zone between wetland and upland,Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG000E
IEEXG000F,EC1_K001_TRANSITION_BAG,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.62186,NA,-83.23813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Transition zone between wetland and upland,Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG000F
IEEXG000G,EC1_K001_TRANSITION_RING,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.62186,NA,-83.23813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Transition zone between wetland and upland,Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG000G
IEEXG001D,EC1_K004_WATER_40ML_FILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.502,NA,-83.0435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tidal River,Portage River,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG001D
IEEXG001E,EC1_K004_WATER_15ML_FILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.502,NA,-83.0435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tidal River,Portage River,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG001E
IEEXG001F,EC1_K004_WATER_1L_UNFILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.502,NA,-83.0435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tidal River,Portage River,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG001F
IEEXG001G,EC1_K004_WATER_125ML_UNFILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.502,NA,-83.0435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tidal River,Portage River,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG001G
IEEXG001H,EC1_K004_WATER_FILTER,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.502,NA,-83.0435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tidal River,Portage River,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG001H
IEEXG001I,EC1_K004_SEDIMENT_JAR,Individual Sample,Sediment,NA,Surface Sediment,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.502,NA,-83.0435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tidal River,Portage River,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG001I
IEEXG001J,EC1_K004_SEDIMENT_BAG,Individual Sample,Sediment,NA,Surface Sediment,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.502,NA,-83.0435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tidal River,Portage River,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG001J
IEEXG001K,EC1_K004_WETLAND_JAR,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.5018,NA,-83.0443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wetland,Portage River,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG001K
IEEXG001L,EC1_K004_WETLAND_BAG,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.5018,NA,-83.0443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wetland,Portage River,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG001L
IEEXG001M,EC1_K004_WETLAND_RING,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.5018,NA,-83.0443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wetland,Portage River,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG001M
IEEXG001N,EC1_K004_UPLAND_JAR,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.5015,NA,-83.0462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Upland,Portage River,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG001N
IEEXG001O,EC1_K004_UPLAND_BAG,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.5015,NA,-83.0462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Upland,Portage River,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG001O
IEEXG001P,EC1_K004_UPLAND_RING,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.5015,NA,-83.0462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Upland,Portage River,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG001P
IEEXG001Q,EC1_K004_TRANSITION_JAR,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.5018,NA,-83.0456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Transition zone between wetland and upland,Portage River,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG001Q
IEEXG001R,EC1_K004_TRANSITION_BAG,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.5018,NA,-83.0456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Transition zone between wetland and upland,Portage River,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG001R
IEEXG001S,EC1_K004_TRANSITION_RING,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.5018,NA,-83.0456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Transition zone between wetland and upland,Portage River,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG001S
IEEXG002P,EC1_K007_WATER_40ML_FILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.3771,NA,-82.5102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Old Woman Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/4/2021,10/4/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG002P
IEEXG002Q,EC1_K007_WATER_15ML_FILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.3771,NA,-82.5102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Old Woman Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/4/2021,10/4/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG002Q
IEEXG002R,EC1_K007_WATER_1L_UNFILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.3771,NA,-82.5102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Old Woman Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/4/2021,10/4/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG002R
IEEXG002S,EC1_K007_WATER_125ML_UNFILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.3771,NA,-82.5102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Old Woman Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/4/2021,10/4/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG002S
IEEXG002T,EC1_K007_WATER_FILTER,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.3771,NA,-82.5102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Old Woman Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/4/2021,10/4/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG002T
IEEXG002U,EC1_K007_SEDIMENT_JAR,Individual Sample,Sediment,NA,Surface Sediment,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.3771,NA,-82.5102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Old Woman Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/4/2021,10/4/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG002U
IEEXG002V,EC1_K007_SEDIMENT_BAG,Individual Sample,Sediment,NA,Surface Sediment,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.3771,NA,-82.5102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Old Woman Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/4/2021,10/4/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG002V
IEEXG002W,EC1_K007_WETLAND_JAR,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.3759,NA,-82.50713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Wetland,Old Woman Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/4/2021,10/4/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG002W
IEEXG002X,EC1_K007_WETLAND_BAG,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.3759,NA,-82.50713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Wetland,Old Woman Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/4/2021,10/4/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG002X
IEEXG002Y,EC1_K007_WETLAND_RING,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.3759,NA,-82.50713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Wetland,Old Woman Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/4/2021,10/4/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG002Y
IEEXG002Z,EC1_K007_UPLAND_JAR,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.3762,NA,-82.50666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Upland,Old Woman Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/4/2021,10/4/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG002Z
IEEXG0030,EC1_K007_UPLAND_BAG,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.3762,NA,-82.50666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Upland,Old Woman Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/4/2021,10/4/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0030
IEEXG0031,EC1_K007_UPLAND_RING,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.3762,NA,-82.50666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Upland,Old Woman Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Trisha Spanbauer,NA,10/4/2021,10/4/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0031
