#--- Experiment --------------------------------------------------------------------------
#K037_Drawdown_GHG_Analysis
#This is a trial of the O2 drawdown of the K037 study site.
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.3.1406   www.pyroscience.com
#WE37639
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:24E144015D64A6DD Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - XB7-535-213
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/21/2021	12/31/2000	22.393002	53.500000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1001.314026	20.028999	38.747002	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.29°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (mg/L) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
21-10-2021	15:35:14.103	5.022	7.806	22.300	299	0	OK	21-10-2021	15:35:14.103	5.022	20.035	OK	21-10-2021	15:35:14.103	5.022	1002	OK
21-10-2021	15:35:44.106	35.024	7.810	22.294	299	0	OK	21-10-2021	15:35:44.106	35.024	20.033	OK	21-10-2021	15:35:44.106	35.024	1002	OK
21-10-2021	15:36:14.104	65.023	8.100	21.871	292	0	OK	21-10-2021	15:36:14.104	65.023	20.033	OK	21-10-2021	15:36:14.104	65.023	1002	OK
21-10-2021	15:36:44.105	95.023	7.910	22.146	296	0	OK	21-10-2021	15:36:44.105	95.023	20.032	OK	21-10-2021	15:36:44.105	95.023	1002	OK
21-10-2021	15:37:14.105	125.024	7.871	22.205	295	0	OK	21-10-2021	15:37:14.105	125.024	20.029	OK	21-10-2021	15:37:14.105	125.024	1002	OK
21-10-2021	15:37:44.106	155.024	7.849	22.237	295	0	OK	21-10-2021	15:37:44.106	155.024	20.030	OK	21-10-2021	15:37:44.106	155.024	1002	OK
21-10-2021	15:38:14.107	185.025	7.832	22.262	295	0	OK	21-10-2021	15:38:14.107	185.025	20.033	OK	21-10-2021	15:38:14.107	185.025	1002	OK
21-10-2021	15:38:44.103	215.021	7.829	22.265	295	0	OK	21-10-2021	15:38:44.103	215.021	20.035	OK	21-10-2021	15:38:44.103	215.021	1002	OK
21-10-2021	15:39:14.108	245.026	7.814	22.288	296	0	OK	21-10-2021	15:39:14.108	245.026	20.034	OK	21-10-2021	15:39:14.108	245.026	1002	OK
21-10-2021	15:39:44.108	275.026	7.807	22.298	296	0	OK	21-10-2021	15:39:44.108	275.026	20.034	OK	21-10-2021	15:39:44.108	275.026	1002	OK
21-10-2021	15:40:14.107	305.025	7.804	22.302	296	0	OK	21-10-2021	15:40:14.107	305.025	20.036	OK	21-10-2021	15:40:14.107	305.025	1002	OK
21-10-2021	15:40:44.107	335.026	7.808	22.297	296	0	OK	21-10-2021	15:40:44.107	335.026	20.033	OK	21-10-2021	15:40:44.107	335.026	1002	OK
21-10-2021	15:41:14.108	365.026	7.801	22.308	296	0	OK	21-10-2021	15:41:14.108	365.026	20.033	OK	21-10-2021	15:41:14.108	365.026	1002	OK
21-10-2021	15:41:44.107	395.026	7.801	22.306	296	0	OK	21-10-2021	15:41:44.107	395.026	20.037	OK	21-10-2021	15:41:44.107	395.026	1002	OK
21-10-2021	15:42:14.108	425.026	7.803	22.304	296	0	OK	21-10-2021	15:42:14.108	425.026	20.034	OK	21-10-2021	15:42:14.108	425.026	1002	OK
