#--- Experiment --------------------------------------------------------------------------
#K037_Drawdown_GHG_Analysis
#This is a trial of the O2 drawdown of the K037 study site.
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.3.1406   www.pyroscience.com
#WE37639
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:24E144015D64A6DD Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - XB7-535-216
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/21/2021	12/31/2000	22.562263	53.500000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1001.265991	20.029600	38.650002	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.29°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (mg/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
21-10-2021	15:35:14.241	5.159	7.775	22.515	293	0	OK	21-10-2021	15:35:14.241	5.159	20.034	OK	21-10-2021	15:35:14.241	5.159	1002	OK
21-10-2021	15:35:44.240	35.159	7.780	22.507	293	0	OK	21-10-2021	15:35:44.240	35.159	20.033	OK	21-10-2021	15:35:44.240	35.159	1002	OK
21-10-2021	15:36:14.240	65.158	3.855	30.995	421	0	OK	21-10-2021	15:36:14.240	65.158	20.033	OK	21-10-2021	15:36:14.240	65.158	1002	OK
21-10-2021	15:36:44.241	95.159	2.569	35.769	489	0	OK	21-10-2021	15:36:44.241	95.159	20.032	OK	21-10-2021	15:36:44.241	95.159	1002	OK
21-10-2021	15:37:14.241	125.159	1.726	39.974	535	0	OK	21-10-2021	15:37:14.241	125.159	20.029	OK	21-10-2021	15:37:14.241	125.159	1002	OK
21-10-2021	15:37:44.242	155.160	1.200	43.236	574	0	OK	21-10-2021	15:37:44.242	155.160	20.030	OK	21-10-2021	15:37:44.242	155.160	1002	OK
21-10-2021	15:38:14.241	185.159	0.865	45.641	600	0	OK	21-10-2021	15:38:14.241	185.159	20.033	OK	21-10-2021	15:38:14.241	185.159	1002	OK
21-10-2021	15:38:44.242	215.160	0.674	47.156	616	0	OK	21-10-2021	15:38:44.242	215.160	20.035	OK	21-10-2021	15:38:44.242	215.160	1002	OK
21-10-2021	15:39:14.243	245.161	0.521	48.450	631	0	OK	21-10-2021	15:39:14.243	245.161	20.035	OK	21-10-2021	15:39:14.243	245.161	1002	OK
21-10-2021	15:39:44.243	275.162	0.394	49.590	642	0	OK	21-10-2021	15:39:44.243	275.162	20.034	OK	21-10-2021	15:39:44.243	275.162	1002	OK
21-10-2021	15:40:14.245	305.163	0.286	50.597	652	0	OK	21-10-2021	15:40:14.245	305.163	20.035	OK	21-10-2021	15:40:14.245	305.163	1002	OK
21-10-2021	15:40:44.245	335.163	0.216	51.280	658	0	OK	21-10-2021	15:40:44.245	335.163	20.034	OK	21-10-2021	15:40:44.245	335.163	1002	OK
21-10-2021	15:41:14.245	365.163	0.165	51.781	663	0	OK	21-10-2021	15:41:14.245	365.163	20.034	OK	21-10-2021	15:41:14.245	365.163	1002	OK
21-10-2021	15:41:44.245	395.164	0.131	52.126	665	0	OK	21-10-2021	15:41:44.245	395.164	20.036	OK	21-10-2021	15:41:44.245	395.164	1002	OK
21-10-2021	15:42:14.247	425.165	0.118	52.261	667	0	OK	21-10-2021	15:42:14.247	425.165	20.034	OK	21-10-2021	15:42:14.247	425.165	1002	OK
