#--- Experiment --------------------------------------------------------------------------
#K015_211011_Drawdown_GHG_Ana
#This is the experiment of the oxygen drawdown of sediments and soils in the K015 study plot.
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.3.1406   www.pyroscience.com
#WE37639
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:24E144015D64A6DD Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - XB7-535-216
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/12/2021	12/31/2000	22.254133	53.500000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1011.356995	19.762602	36.667000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.29°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (mg/L) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
12-10-2021	15:59:36.023	14.796	7.868	22.250	326	0	OK	12-10-2021	15:59:36.023	14.796	19.757	OK	12-10-2021	15:59:36.023	14.796	1011	OK
12-10-2021	16:00:06.001	44.774	7.863	22.259	325	0	OK	12-10-2021	16:00:06.001	44.774	19.755	OK	12-10-2021	16:00:06.001	44.774	1011	OK
12-10-2021	16:00:36.036	74.809	7.861	22.261	326	0	OK	12-10-2021	16:00:36.036	74.809	19.756	OK	12-10-2021	16:00:36.036	74.809	1011	OK
12-10-2021	16:01:06.002	104.775	7.850	22.278	326	0	OK	12-10-2021	16:01:06.002	104.775	19.755	OK	12-10-2021	16:01:06.002	104.775	1011	OK
12-10-2021	16:01:36.002	134.775	7.853	22.275	326	0	OK	12-10-2021	16:01:36.002	134.775	19.751	OK	12-10-2021	16:01:36.002	134.775	1011	OK
12-10-2021	16:02:06.021	164.794	7.847	22.283	325	0	OK	12-10-2021	16:02:06.021	164.794	19.753	OK	12-10-2021	16:02:06.021	164.794	1011	OK
12-10-2021	16:02:36.004	194.777	7.854	22.272	325	0	OK	12-10-2021	16:02:36.004	194.777	19.754	OK	12-10-2021	16:02:36.004	194.777	1011	OK
12-10-2021	16:03:06.001	224.774	8.003	22.055	315	0	OK	12-10-2021	16:03:06.001	224.774	19.750	OK	12-10-2021	16:03:06.001	224.774	1011	OK
12-10-2021	16:03:35.990	254.763	4.637	28.618	412	0	OK	12-10-2021	16:03:35.990	254.763	19.748	OK	12-10-2021	16:03:35.990	254.763	1011	OK
12-10-2021	16:04:05.985	284.758	3.986	30.466	439	0	OK	12-10-2021	16:04:05.985	284.758	19.745	OK	12-10-2021	16:04:05.985	284.758	1011	OK
12-10-2021	16:04:35.991	314.764	3.292	32.768	474	0	OK	12-10-2021	16:04:35.991	314.764	19.747	OK	12-10-2021	16:04:35.991	314.764	1011	OK
12-10-2021	16:05:05.986	344.759	2.519	35.876	518	0	OK	12-10-2021	16:05:05.986	344.759	19.743	OK	12-10-2021	16:05:05.986	344.759	1011	OK
12-10-2021	16:05:35.979	374.752	1.883	39.002	561	0	OK	12-10-2021	16:05:35.979	374.752	19.740	OK	12-10-2021	16:05:35.979	374.752	1011	OK
12-10-2021	16:06:05.986	404.759	1.490	41.273	591	0	OK	12-10-2021	16:06:05.986	404.759	19.738	OK	12-10-2021	16:06:05.986	404.759	1011	OK
12-10-2021	16:06:35.982	434.755	1.282	42.600	608	0	OK	12-10-2021	16:06:35.982	434.755	19.735	OK	12-10-2021	16:06:35.982	434.755	1011	OK
12-10-2021	16:07:05.984	464.757	1.126	43.661	622	0	OK	12-10-2021	16:07:05.984	464.757	19.735	OK	12-10-2021	16:07:05.984	464.757	1011	OK
12-10-2021	16:07:35.975	494.748	0.985	44.675	631	0	OK	12-10-2021	16:07:35.975	494.748	19.737	OK	12-10-2021	16:07:35.975	494.748	1011	OK
12-10-2021	16:08:05.975	524.748	0.842	45.758	645	0	OK	12-10-2021	16:08:05.975	524.748	19.738	OK	12-10-2021	16:08:05.975	524.748	1011	OK
12-10-2021	16:08:35.977	554.750	0.363	49.840	716	0	OK	12-10-2021	16:08:35.977	554.750	19.737	OK	12-10-2021	16:08:35.977	554.750	1011	OK
12-10-2021	16:09:05.977	584.750	0.190	51.524	736	0	OK	12-10-2021	16:09:05.977	584.750	19.739	OK	12-10-2021	16:09:05.977	584.750	1011	OK
12-10-2021	16:09:35.974	614.747	0.111	52.328	686	0	OK	12-10-2021	16:09:35.974	614.747	19.734	OK	12-10-2021	16:09:35.974	614.747	1011	OK
12-10-2021	16:10:05.987	644.760	0.086	52.583	688	0	OK	12-10-2021	16:10:05.987	644.760	19.733	OK	12-10-2021	16:10:05.987	644.760	1011	OK
12-10-2021	16:10:35.981	674.754	0.073	52.724	690	0	OK	12-10-2021	16:10:35.981	674.754	19.730	OK	12-10-2021	16:10:35.981	674.754	1011	OK
12-10-2021	16:11:05.978	704.751	0.068	52.778	691	0	OK	12-10-2021	16:11:05.978	704.751	19.735	OK	12-10-2021	16:11:05.978	704.751	1011	OK
