#--- Experiment --------------------------------------------------------------------------
#K015_211011_Drawdown_GHG_Ana
#This is the experiment of the oxygen drawdown of sediments and soils in the K015 study plot.
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.3.1406   www.pyroscience.com
#WE37639
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:24E144015D64A6DD Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - XB7-535-213
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/12/2021	12/31/2000	22.083532	53.500000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1011.331970	19.761131	36.699001	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.29°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (mg/L) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
12-10-2021	15:59:35.912	14.685	7.789	22.197	297	0	OK	12-10-2021	15:59:35.912	14.685	19.758	OK	12-10-2021	15:59:35.912	14.685	1011	OK
12-10-2021	16:00:05.889	44.662	7.788	22.199	297	0	OK	12-10-2021	16:00:05.889	44.662	19.755	OK	12-10-2021	16:00:05.889	44.662	1011	OK
12-10-2021	16:00:35.926	74.699	7.783	22.207	297	0	OK	12-10-2021	16:00:35.926	74.699	19.755	OK	12-10-2021	16:00:35.926	74.699	1011	OK
12-10-2021	16:01:05.895	104.668	7.774	22.221	297	0	OK	12-10-2021	16:01:05.895	104.668	19.755	OK	12-10-2021	16:01:05.895	104.668	1011	OK
12-10-2021	16:01:35.893	134.666	7.781	22.211	296	0	OK	12-10-2021	16:01:35.893	134.666	19.751	OK	12-10-2021	16:01:35.893	134.666	1011	OK
12-10-2021	16:02:05.910	164.683	7.777	22.216	296	0	OK	12-10-2021	16:02:05.910	164.683	19.753	OK	12-10-2021	16:02:05.910	164.683	1011	OK
12-10-2021	16:02:35.894	194.667	7.772	22.223	296	0	OK	12-10-2021	16:02:35.894	194.667	19.754	OK	12-10-2021	16:02:35.894	194.667	1011	OK
12-10-2021	16:03:05.891	224.664	6.475	24.383	330	0	OK	12-10-2021	16:03:05.891	224.664	19.750	OK	12-10-2021	16:03:05.891	224.664	1011	OK
12-10-2021	16:03:35.883	254.656	6.145	25.012	341	0	OK	12-10-2021	16:03:35.883	254.656	19.748	OK	12-10-2021	16:03:35.883	254.656	1011	OK
12-10-2021	16:04:05.879	284.652	6.020	25.260	346	0	OK	12-10-2021	16:04:05.879	284.652	19.745	OK	12-10-2021	16:04:05.879	284.652	1011	OK
12-10-2021	16:04:35.882	314.655	5.953	25.394	348	0	OK	12-10-2021	16:04:35.882	314.655	19.747	OK	12-10-2021	16:04:35.882	314.655	1011	OK
12-10-2021	16:05:05.876	344.649	5.912	25.480	350	0	OK	12-10-2021	16:05:05.876	344.649	19.743	OK	12-10-2021	16:05:05.876	344.649	1011	OK
12-10-2021	16:05:35.872	374.645	5.875	25.556	351	0	OK	12-10-2021	16:05:35.872	374.645	19.740	OK	12-10-2021	16:05:35.872	374.645	1011	OK
12-10-2021	16:06:05.880	404.653	5.845	25.618	353	0	OK	12-10-2021	16:06:05.880	404.653	19.738	OK	12-10-2021	16:06:05.880	404.653	1011	OK
12-10-2021	16:06:35.876	434.649	5.833	25.645	354	0	OK	12-10-2021	16:06:35.876	434.649	19.735	OK	12-10-2021	16:06:35.876	434.649	1011	OK
