#--- Experiment --------------------------------------------------------------------------
#K015_211011_Drawdown_GHG_Ana
#This is the experiment of the oxygen drawdown of sediments and soils in the K015 study plot.
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.3.1406   www.pyroscience.com
#WE37639
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:24E144015D64A6DD Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.4] - Oxygen Sensor - XB7-535-214
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/12/2021	12/31/2000	22.154001	53.500000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1011.315979	19.761263	36.516998	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.29°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (mg/L) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]
12-10-2021	15:59:35.800	14.573	7.869	22.149	319	0	OK	12-10-2021	15:59:35.800	14.573	19.758	OK	12-10-2021	15:59:35.800	14.573	1011	OK
12-10-2021	16:00:05.781	44.554	7.869	22.149	319	0	OK	12-10-2021	16:00:05.781	44.554	19.756	OK	12-10-2021	16:00:05.781	44.554	1011	OK
12-10-2021	16:00:35.816	74.589	7.874	22.142	319	0	OK	12-10-2021	16:00:35.816	74.589	19.755	OK	12-10-2021	16:00:35.816	74.589	1011	OK
12-10-2021	16:01:05.785	104.558	7.869	22.150	319	0	OK	12-10-2021	16:01:05.785	104.558	19.754	OK	12-10-2021	16:01:05.785	104.558	1011	OK
12-10-2021	16:01:35.784	134.557	7.864	22.158	319	0	OK	12-10-2021	16:01:35.784	134.557	19.751	OK	12-10-2021	16:01:35.784	134.557	1011	OK
12-10-2021	16:02:05.799	164.572	7.871	22.148	319	0	OK	12-10-2021	16:02:05.799	164.572	19.752	OK	12-10-2021	16:02:05.799	164.572	1011	OK
12-10-2021	16:02:35.785	194.558	7.866	22.154	318	0	OK	12-10-2021	16:02:35.785	194.558	19.754	OK	12-10-2021	16:02:35.785	194.558	1011	OK
12-10-2021	16:03:05.782	224.555	7.865	22.157	318	0	OK	12-10-2021	16:03:05.782	224.555	19.750	OK	12-10-2021	16:03:05.782	224.555	1011	OK
12-10-2021	16:03:35.774	254.547	5.377	26.702	387	0	OK	12-10-2021	16:03:35.774	254.547	19.748	OK	12-10-2021	16:03:35.774	254.547	1011	OK
12-10-2021	16:04:05.774	284.546	3.238	32.865	489	0	OK	12-10-2021	16:04:05.774	284.546	19.745	OK	12-10-2021	16:04:05.774	284.546	1011	OK
12-10-2021	16:04:35.780	314.553	2.121	37.668	561	0	OK	12-10-2021	16:04:35.780	314.553	19.747	OK	12-10-2021	16:04:35.780	314.553	1011	OK
12-10-2021	16:05:05.775	344.547	1.280	42.544	629	0	OK	12-10-2021	16:05:05.775	344.547	19.744	OK	12-10-2021	16:05:05.775	344.547	1011	OK
12-10-2021	16:05:35.772	374.545	0.961	44.791	659	0	OK	12-10-2021	16:05:35.772	374.545	19.740	OK	12-10-2021	16:05:35.772	374.545	1011	OK
12-10-2021	16:06:05.778	404.551	0.653	47.232	691	0	OK	12-10-2021	16:06:05.778	404.551	19.739	OK	12-10-2021	16:06:05.778	404.551	1011	OK
12-10-2021	16:06:35.776	434.548	0.476	48.776	710	0	OK	12-10-2021	16:06:35.776	434.548	19.735	OK	12-10-2021	16:06:35.776	434.548	1011	OK
