"campaign","kit_id","transect_location","alk_mgl_caco3"
"EC1","K004","water",102
"EC1","K008","water",111
"EC1","K009","water",166
"EC1","K010","water",170
"EC1","K011","water",108
"EC1","K012","water",164
"EC1","K013","water",199
"EC1","K015","water",67
"EC1","K016","water",74
"EC1","K017","water",33
"EC1","K018","water",73
"EC1","K019","water",105
"EC1","K020","water",43
"EC1","K021","water",167
"EC1","K022","water",126
"EC1","K023","water",52
"EC1","K024","water",63
"EC1","K025","water",40
"EC1","K026","water",131
"EC1","K027","water",88
"EC1","K029","water",106
"EC1","K030","water",76
"EC1","K033","water",89
"EC1","K034","water",57
"EC1","K035","water",66
"EC1","K036","water",86
"EC1","K037","water",28
"EC1","K038","water",48
"EC1","K039","water",144
"EC1","K040","water",131
"EC1","K041","water",124
"EC1","K042","water",113
"EC1","K043","water",107
"EC1","K044","water",71
"EC1","K045","water",17
"EC1","K046","water",111
"EC1","K047","water",172
"EC1","K048","water",94
"EC1","K049","water",128
"EC1","K050","water",18
"EC1","K051","water",51
"EC1","K052","water",92
"EC1","K053","water",62
"EC1","K054","water",192
"EC1","K055","water",46
"EC1","K056","water",175
"EC1","K058","water",95
"EC1","K059","water",85
"EC1","K060","water",77
"EC1","K061","water",197
"EC1","K062","water",133
