campaign,kit_id,transect_location,tdn_mgN_L
EC1,K004,water,2.541
EC1,K008,water,0.429
EC1,K009,water,0.665
EC1,K010,water,1.235
EC1,K011,water,0.543
EC1,K012,water,2.286
EC1,K013,water,2.578
EC1,K015,water,0.557
EC1,K016,water,0.584
EC1,K017,water,0.436
EC1,K018,water,0.434
EC1,K019,water,0.486
EC1,K020,water,0.475
EC1,K021,water,1.956
EC1,K022,water,1.737
EC1,K023,water,0.473
EC1,K024,water,0.563
EC1,K025,water,0.742
EC1,K026,water,1.439
EC1,K029,water,0.774
EC1,K030,water,0.848
EC1,K033,water,0.437
EC1,K034,water,0.831
EC1,K035,water,0.543
EC1,K036,water,0.566
EC1,K037,water,0.378
EC1,K038,water,0.336
EC1,K039,water,0.724
EC1,K040,water,0.363
EC1,K041,water,0.537
EC1,K042,water,1.251
EC1,K043,water,0.724
EC1,K044,water,0.524
EC1,K045,water,0.899
EC1,K046,water,0.925
EC1,K047,water,0.578
EC1,K048,water,1.294
EC1,K049,water,0.598
EC1,K050,water,0.657
EC1,K051,water,0.698
EC1,K052,water,0.6
EC1,K053,water,0.497
EC1,K054,water,1.636
EC1,K055,water,1.074
EC1,K056,water,0.956
EC1,K058,water,0.537
EC1,K059,water,0.485
EC1,K060,water,1.164
EC1,K061,water,1.438
EC1,K062,water,0.989
