campaign,kit_id,transect_location,doc_mgC_L
EC1,K004,water, 7.31
EC1,K008,water, 2.97
EC1,K009,water, 7.03
EC1,K010,water, 7.20
EC1,K011,water, 3.28
EC1,K012,water,15.01
EC1,K013,water, 7.73
EC1,K015,water, 4.50
EC1,K016,water, 5.06
EC1,K017,water, 5.08
EC1,K018,water, 3.17
EC1,K019,water, 7.62
EC1,K020,water, 1.81
EC1,K021,water,30.37
EC1,K022,water,27.65
EC1,K023,water, 3.58
EC1,K024,water, 7.63
EC1,K025,water, 5.78
EC1,K026,water, 6.33
EC1,K029,water, 5.07
EC1,K030,water, 7.00
EC1,K033,water, 4.25
EC1,K034,water, 5.89
EC1,K035,water, 4.21
EC1,K036,water, 4.04
EC1,K037,water, 5.94
EC1,K038,water, 4.50
EC1,K039,water, 6.01
EC1,K040,water, 3.00
EC1,K041,water, 6.50
EC1,K042,water, 3.40
EC1,K043,water, 3.91
EC1,K044,water, 6.85
EC1,K045,water, 8.47
EC1,K046,water, 7.96
EC1,K047,water, 4.84
EC1,K048,water, 3.36
EC1,K049,water, 7.54
EC1,K050,water, 5.26
EC1,K051,water, 8.37
EC1,K052,water, 7.03
EC1,K053,water, 4.47
EC1,K054,water,10.01
EC1,K055,water, 3.42
EC1,K056,water, 8.84
EC1,K058,water, 6.43
EC1,K059,water, 6.14
EC1,K060,water, 3.56
EC1,K061,water, 7.26
EC1,K062,water, 6.08
