"campaign","kit_id","transect_location","tss_mg_L"
"EC1","K004","water",45
"EC1","K008","water",30.83
"EC1","K009","water",221.19
"EC1","K010","water",78.47
"EC1","K011","water",38.79
"EC1","K012","water",1234.39
"EC1","K013","water",296.43
"EC1","K014","water",14.86
"EC1","K015","water",63.08
"EC1","K016","water",50.48
"EC1","K017","water",89.25
"EC1","K018","water",37.1
"EC1","K019","water",5.04
"EC1","K021","water",56.15
"EC1","K022","water",17.45
"EC1","K023","water",11.99
"EC1","K024","water",18.03
"EC1","K025","water",27.52
"EC1","K026","water",381.9
"EC1","K029","water",132.74
"EC1","K030","water",51.45
"EC1","K033","water",4.47
"EC1","K034","water",18.79
"EC1","K035","water",18.45
"EC1","K036","water",11.99
"EC1","K037","water",9.05
"EC1","K038","water",33.77
"EC1","K040","water",29.78
"EC1","K041","water",54.31
"EC1","K042","water",15.45
"EC1","K043","water",137.08
"EC1","K044","water",124.7
"EC1","K045","water",7.12
"EC1","K046","water",179.68
"EC1","K047","water",4.35
"EC1","K048","water",9.19
"EC1","K049","water",5.12
"EC1","K050","water",23.84
"EC1","K051","water",20.43
"EC1","K052","water",24.75
"EC1","K053","water",15.18
"EC1","K054","water",616.49
"EC1","K055","water",15.21
"EC1","K056","water",205.79
"EC1","K057","water",18.58
"EC1","K058","water",31.1
"EC1","K059","water",55.22
"EC1","K060","water",162.42
"EC1","K061","water",72.66
"EC1","K062","water",52.75
