"campaign","kit_id","transect_location","ph"
"EC1","K004","water",7.69
"EC1","K008","water",7.74
"EC1","K009","water",7.58
"EC1","K010","water",7.57
"EC1","K011","water",7.83
"EC1","K012","water",6.81
"EC1","K013","water",7.69
"EC1","K015","water",7.29
"EC1","K016","water",7.12
"EC1","K017","water",7.07
"EC1","K018","water",7.77
"EC1","K019","water",7.9
"EC1","K020","water",7.84
"EC1","K021","water",7.52
"EC1","K022","water",7.28
"EC1","K023","water",7.03
"EC1","K024","water",6.87
"EC1","K025","water",6.44
"EC1","K026","water",7.38
"EC1","K027","water",6.79
"EC1","K029","water",6.62
"EC1","K030","water",6.7
"EC1","K033","water",7.55
"EC1","K034","water",6.92
"EC1","K035","water",7.07
"EC1","K036","water",7.97
"EC1","K037","water",6.67
"EC1","K038","water",7.07
"EC1","K039","water",7.18
"EC1","K040","water",7.67
"EC1","K041","water",7.29
"EC1","K042","water",6.75
"EC1","K043","water",7.52
"EC1","K044","water",6.88
"EC1","K045","water",6.42
"EC1","K046","water",6.73
"EC1","K047","water",7.23
"EC1","K048","water",6.98
"EC1","K049","water",7.66
"EC1","K050","water",6.08
"EC1","K051","water",6.6
"EC1","K052","water",6.92
"EC1","K053","water",7.02
"EC1","K054","water",7
"EC1","K055","water",7.17
"EC1","K056","water",6.89
"EC1","K058","water",6.9
"EC1","K059","water",7.14
"EC1","K060","water",7.17
"EC1","K061","water",6.98
"EC1","K062","water",7.22
