"campaign","kit_id","transect_location","bulk_density_g_cm3"
"EC1","K004","transition",0.392857142857143
"EC1","K004","upland",0.866298673378101
"EC1","K004","wetland",0.28755601982412
"EC1","K008","transition",0.13131067961165
"EC1","K008","wetland",0.355592105263158
"EC1","K008","upland",0.88818730456459
"EC1","K009","transition",0.54788090951602
"EC1","K009","upland",0.552136752136752
"EC1","K009","wetland",0.229451062177709
"EC1","K010","transition",0.755555555555556
"EC1","K010","upland",0.745185185185185
"EC1","K010","wetland",0.445787545787546
"EC1","K011","wetland",0.401153846153846
"EC1","K011","transition",0.7071129602269
"EC1","K011","upland",0.86680740558247
"EC1","K012","wetland",0.691290036893292
"EC1","K013","transition",0.595546270022087
"EC1","K013","upland",1.03527595925139
"EC1","K013","wetland",0.234243629001292
"EC1","K015","wetland",0.222115761407061
"EC1","K015","transition",0.940350877192983
"EC1","K015","upland",0.906875408977229
"EC1","K016","transition",1.23633206083692
"EC1","K016","upland",0.145662100456621
"EC1","K016","wetland",0.274358974358974
"EC1","K017","wetland",0.182659932659933
"EC1","K017","transition",0.705405405405405
"EC1","K017","upland",0.75462962962963
"EC1","K019","wetland",1.56542545660582
"EC1","K019","transition",1.31818181818182
"EC1","K019","upland",0.489808712174362
"EC1","K020","upland",0.688652482269504
"EC1","K021","transition",0.282162162162162
"EC1","K021","upland",0.690551181102362
"EC1","K021","wetland",0.225879357799327
"EC1","K022","wetland",0.382918149466192
"EC1","K022","transition",0.226490066225166
"EC1","K022","upland",0.724683544303797
"EC1","K023","upland",0.428378378378378
"EC1","K023","wetland",0.142082165029557
"EC1","K024","transition",0.356451612903226
"EC1","K024","upland",0.242231075697211
"EC1","K024","wetland",0.11487414187643
"EC1","K025","transition",0.406227106227106
"EC1","K025","upland",0.702459016393443
"EC1","K025","wetland",0.466068505626028
"EC1","K026","transition",0.38522164385021
"EC1","K026","upland",1.55363636363636
"EC1","K026","wetland",0.584352785801568
"EC1","K027","wetland",0.0828316610925307
"EC1","K027","transition",1.49206349206349
"EC1","K027","upland",1.47570396571836
"EC1","K030","upland",0.177367454769748
"EC1","K030","wetland",0.484569287524584
"EC1","K033","wetland",0.371818181818182
"EC1","K033","upland",0.592752127572592
"EC1","K034","transition",0.217248062015504
"EC1","K034","upland",0.907432432432432
"EC1","K034","wetland",0.329526462395543
"EC1","K035","transition",0.272191011235955
"EC1","K035","upland",0.872181522790189
"EC1","K035","wetland",0.185350318471338
"EC1","K036","transition",0.19143897996357
"EC1","K036","upland",0.210281659328587
"EC1","K036","wetland",0.194866529774127
"EC1","K037","wetland",0.286027397260274
"EC1","K038","upland",0.745901639344262
"EC1","K038","wetland",0.27620320855615
"EC1","K039","wetland",0.0953768844221106
"EC1","K039","transition",0.129960053262317
"EC1","K039","upland",0.674050632911392
"EC1","K040","upland",0.106666666666667
"EC1","K040","wetland",0.747208121827411
"EC1","K040","transition",0.108569665494784
"EC1","K041","transition",0.102307632677666
"EC1","K041","upland",0.106389536677878
"EC1","K041","wetland",1.48211382113821
"EC1","K042","upland",0.633567318812702
"EC1","K042","wetland",0.215136476426799
"EC1","K042","transition",0.186380597014925
"EC1","K044","transition",0.157803406826105
"EC1","K044","upland",0.547710773374566
"EC1","K044","wetland",0.330824372759857
"EC1","K045","transition",0.173436473086324
"EC1","K045","upland",0.347328244274809
"EC1","K045","wetland",0.108381502890173
"EC1","K046","wetland",0.259586278790373
"EC1","K046","upland",0.789303796095579
"EC1","K047","wetland",0.0527682843472317
"EC1","K047","transition",0.862962962962963
"EC1","K047","upland",0.346428571428572
"EC1","K048","transition",0.353055823221277
"EC1","K048","upland",0.646438200343952
"EC1","K048","wetland",0.432747010713399
"EC1","K049","transition",1.3775
"EC1","K049","upland",1.736
"EC1","K049","wetland",0.949425287356322
"EC1","K050","transition",0.921686746987952
"EC1","K050","wetland",0.2146
"EC1","K051","transition",0.232530120481928
"EC1","K051","upland",1.37372881355932
"EC1","K051","wetland",0.79765625
"EC1","K052","transition",1.65107717328849
"EC1","K052","upland",1.44991379310345
"EC1","K053","wetland",0.240501043841336
"EC1","K053","transition",0.827218934911242
"EC1","K053","upland",0.993220338983051
"EC1","K054","transition",0.103170028818444
"EC1","K054","upland",0.59075595050777
"EC1","K054","wetland",0.206579459519987
"EC1","K055","upland",0.851908396946565
"EC1","K059","transition",0.156935649921868
"EC1","K059","upland",0.154770533307409
"EC1","K059","wetland",0.095922344396909
"EC1","K060","wetland",0.489613682651814
"EC1","K061","transition",1.14276342716434
"EC1","K061","upland",1.13044590372292
"EC1","K061","wetland",0.70244541350952
"EC1","K062","transition",0.377591973244147
"EC1","K062","upland",0.772916666666667
"EC1","K062","wetland",0.243896713615024
