#--- Experiment --------------------------------------------------------------------------
#K025_211011_Drawdown_GHG_Ana
#This is the experiment of the oxygen drawdown of sediments and soils in the K025 study plot.
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.3.1406   www.pyroscience.com
#WE37639
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:24E144015D64A6DD Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - XB7-535-213
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/11/2021	12/31/2000	22.124334	53.500000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1023.348999	19.930332	39.969002	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.29°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (mg/L) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
11-10-2021	14:58:00.772	7.785	7.885	22.184	306	0	OK	11-10-2021	14:58:00.772	7.785	19.943	OK	11-10-2021	14:58:00.772	7.785	1023	OK
11-10-2021	14:58:30.778	37.792	7.883	22.187	306	0	OK	11-10-2021	14:58:30.778	37.792	19.945	OK	11-10-2021	14:58:30.778	37.792	1023	OK
11-10-2021	14:59:00.777	67.790	7.886	22.181	306	0	OK	11-10-2021	14:59:00.777	67.790	19.946	OK	11-10-2021	14:59:00.777	67.790	1023	OK
11-10-2021	14:59:30.803	97.816	7.882	22.188	306	0	OK	11-10-2021	14:59:30.803	97.816	19.946	OK	11-10-2021	14:59:30.803	97.816	1023	OK
11-10-2021	15:00:00.768	127.782	5.012	27.618	388	0	OK	11-10-2021	15:00:00.768	127.782	19.944	OK	11-10-2021	15:00:00.768	127.782	1023	OK
11-10-2021	15:00:30.767	157.781	4.601	28.665	405	0	OK	11-10-2021	15:00:30.767	157.781	19.945	OK	11-10-2021	15:00:30.767	157.781	1023	OK
11-10-2021	15:01:00.764	187.778	4.441	29.097	413	0	OK	11-10-2021	15:01:00.764	187.778	19.947	OK	11-10-2021	15:01:00.764	187.778	1023	OK
11-10-2021	15:01:30.764	217.778	4.348	29.357	417	0	OK	11-10-2021	15:01:30.764	217.778	19.945	OK	11-10-2021	15:01:30.764	217.778	1023	OK
11-10-2021	15:02:00.767	247.781	4.310	29.462	414	0	OK	11-10-2021	15:02:00.767	247.781	19.950	OK	11-10-2021	15:02:00.767	247.781	1023	OK
11-10-2021	15:02:30.765	277.779	4.286	29.531	419	0	OK	11-10-2021	15:02:30.765	277.779	19.947	OK	11-10-2021	15:02:30.765	277.779	1023	OK
11-10-2021	15:03:00.766	307.780	4.275	29.559	420	0	OK	11-10-2021	15:03:00.766	307.780	19.953	OK	11-10-2021	15:03:00.766	307.780	1023	OK
11-10-2021	15:03:30.764	337.778	4.265	29.590	421	0	OK	11-10-2021	15:03:30.764	337.778	19.952	OK	11-10-2021	15:03:30.764	337.778	1023	OK
11-10-2021	15:04:00.764	367.778	4.254	29.621	422	0	OK	11-10-2021	15:04:00.764	367.778	19.952	OK	11-10-2021	15:04:00.764	367.778	1023	OK
11-10-2021	15:04:30.767	397.780	4.250	29.632	423	0	OK	11-10-2021	15:04:30.767	397.780	19.954	OK	11-10-2021	15:04:30.767	397.780	1023	OK
11-10-2021	15:05:00.763	427.777	4.240	29.662	424	0	OK	11-10-2021	15:05:00.763	427.777	19.951	OK	11-10-2021	15:05:00.763	427.777	1023	OK
