Signal	Signal	Peak	Reten.	Response	Response	Weight	Weight	Peak	Element									
No.	Name	No.	time [min]		Base	[mg]	[%]	Type	Name									
1	Colibrick - 1	1	1.749	13.276	A	0.0201	0.134	Refer	Nitrogen									
1	Colibrick - 1	2	3.165	480.692	A	0.27	1.8	Refer	Carbon									
1	Colibrick - 1		Total			15.0036	1.934											
																		
Primary file : 	K054_SED_r2_4_10_2023 3_56_30 PM_048	Analyst  : 	Khadijah															
Sample ID    : 	K054_SED_r2	From     : 	"Mon, 10th Apr, 2023"	 4:02:00 PM														
Sample       : 	K054_SED_r2																	
Instrument   : 	Instrument 1	Method   : 	C_N															
Sample Weight:	15.004	[mg]	15.004															
Peak width   :	0.1	[min]	Threshold :	0.1	[mV]													
																		
		sample	sample_id					tn_perc							tc_perc			
		Sample	Sample ID	Sample Weight [mg]	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Carbon	Carbon	Carbon	Carbon	Carbon	Carbon	Carbon
					Reten. Time	Response	Weight	Weight	Peak Type	Element	Carbon Response Ratio	Reten. Time	Response	Weight	Weight	Peak Type	Element	Carbon Response Ratio
					[min]		[mg]	[%]		Name		[min]		[mg]	[%]		Name	
Calib\Blank_186_4_10_2023 11_11_20 AM_001	Colibrick - 1	Blank_186	Blank_186	0	1.76	4.132	0.006	100	Refer	Nitrogen	???							
Calib\STD297_0.1_4_10_2023 11_38_56 AM_006	Colibrick - 1	STD297_0.1	STD297_0.1	0.106	1.732	5.7	0.009	8.16	Refer	Nitrogen	0.052	3.204	110.166	0.062	58.22	Refer	Carbon	1
Calib\STD298_0.2_4_10_2023 11_44_27 AM_007	Colibrick - 1	STD298_0.2	STD298_0.2	0.204	1.737	11.54	0.017	8.56	Refer	Nitrogen	0.051	3.189	226.26	0.127	62.1	Refer	Carbon	1
Calib\STD299_0.5_4_10_2023 11_49_59 AM_008	Colibrick - 1	STD299_0.5	STD299_0.5	0.497	1.735	30.877	0.047	9.4	Refer	Nitrogen	0.053	3.176	584.592	0.329	66.21	Refer	Carbon	1
Calib\STD230_1.0_4_10_2023 11_55_30 AM_009	Colibrick - 1	STD230_1.0	STD230_1.0	1.041	1.735	68.754	0.104	9.99	Refer	Nitrogen	0.054	3.151	1280.39	0.728	69.94	Refer	Carbon	1
